Join,Cardinality
customer,1500000
lineitem,51045287
supplier,100000
n1,25
n2,25
orders,15000000
supplier-lineitem,51045287
orders-lineitem,51045287
customer-orders,15000000
supplier-n1,100000
customer-n2,1500000
supplier-lineitem-orders,51045287
supplier-lineitem-n1,51045287
orders-lineitem-customer,51045287
customer-orders-n2,15000000
supplier-lineitem-orders-customer,51045287
supplier-lineitem-orders-n1,51045287
orders-lineitem-customer-n2,51045287
supplier-lineitem-orders-customer-n1,51045287
supplier-lineitem-orders-customer-n2,51045287
supplier-lineitem-orders-customer-n1-n2,0
