Join,Cardinality
customer,1500000
lineitem,59986052
region,1
part,13297
supplier,100000
n1,25
n2,25
orders,14326107
part-lineitem,0
supplier-lineitem,59986052
lineitem-orders,57289223
orders-customer,14326107
customer-n1,1500000
n1-region,5
supplier-n2,100000
part-lineitem-supplier,0
part-lineitem-orders,0
supplier-lineitem-orders,57289223
supplier-lineitem-n2,59986052
lineitem-orders-customer,57289223
orders-customer-n1,14326107
customer-n1-region,5938
part-lineitem-supplier-orders,0
part-lineitem-supplier-n2,0
part-lineitem-orders-customer,0
supplier-lineitem-orders-customer,57289223
supplier-lineitem-orders-n2,57289223
lineitem-orders-customer-n1,57289223
orders-customer-n1-region,56024
part-lineitem-supplier-orders-customer,0
part-lineitem-supplier-orders-n2,0
part-lineitem-orders-customer-n1,0
supplier-lineitem-orders-customer-n1,57289223
supplier-lineitem-orders-customer-n2,57289223
lineitem-orders-customer-n1-region,224140
part-lineitem-supplier-orders-customer-n1,0
part-lineitem-supplier-orders-customer-n2,0
part-lineitem-orders-customer-n1-region,0
supplier-lineitem-orders-customer-n1-region,224140
supplier-lineitem-orders-customer-n1-n2,57289223
part-lineitem-supplier-orders-customer-n1-region,0
part-lineitem-supplier-orders-customer-n1-n2,0
supplier-lineitem-orders-customer-n1-region-n2,224140
part-lineitem-supplier-orders-customer-n1-region-n2,0
